# Spyropoulos & Blaisdell - 1996 
# Case 3
# time   density_rms
0.000000000000000000e+00   7.316997309584627462e-04
3.654196063388054361e-01   1.484920194705220409e-01
7.210521131944406248e-01   1.316193813599298990e-01
1.077451829119731030e+00   1.237710399311585246e-01
1.433519778960846036e+00   1.120202999372754554e-01
1.798317323891823083e+00   1.029514221878936320e-01
2.158615291306173134e+00   9.095626389918458343e-02
2.536642008843639218e+00   8.749552893363121697e-02
2.922672583161834314e+00   7.818015935139729922e-02
3.313555236461092512e+00   7.593736878392176592e-02
3.721067664729636348e+00   6.930230629266952158e-02
4.133369965838460836e+00   6.900812308521721283e-02
