# Spyropoulos & Blaisdell - 1996 
# Case 2
# time   density_rms
0.000000000000000000e+00   4.883182051454992845e-04
1.361899775539506807e-01   5.217851088866655440e-02
2.952925502962567839e-01   7.362252277003943080e-02
5.622398357757883991e-01   6.358996822302974417e-02
8.254754881886089413e-01   5.989932972883306450e-02
1.088628199080385883e+00   5.523309159335845764e-02
1.347696040060754719e+00   5.251857112494622004e-02
1.615223916187592756e+00   4.931521406688196829e-02
1.887147692929753706e+00   4.781863799654756386e-02
2.154530421394765138e+00   4.290798156624694992e-02
2.439185721617151970e+00   4.116595043207346705e-02
2.655766768442824333e+00   3.870051371904598136e-02
2.876805922024601614e+00   3.867355772470673636e-02
3.106284375372588169e+00   3.791386523039597112e-02
3.335659151819269752e+00   3.593467318448786973e-02
3.573473228032160165e+00   3.322274463860822036e-02
3.807368317375729561e+00   3.441373304234685016e-02
3.922117911739853469e+00   3.415583675035119282e-02
